Hugo_Symbol,TCGA-AC-A2BM-01A-11R-A21T-07,TCGA-A8-A075-01A-11R-A084-07,TCGA-A2-A0EM-01A-11R-A034-07,TCGA-A7-A3J1-01A-11R-A213-07,TCGA-BH-A0BO-01A-23R-A12D-07,TCGA-A8-A08L-01A-11R-A00Z-07,TCGA-AN-A0FW-01A-11R-A034-07,TCGA-E2-A1L9-01A-11R-A13Q-07,TCGA-E2-A15K-01A-11R-A12P-07,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-AC-A3OD-01A-11R-A21T-07,TCGA-AN-A0AT-01A-11R-A034-07,TCGA-A7-A0DC-01A-11R-A00Z-07,TCGA-AR-A1AU-01A-11R-A12P-07,TCGA-E9-A228-01A-31R-A157-07,TCGA-A2-A0D2-01A-21R-A034-07,TCGA-E2-A1AZ-01A-11R-A12P-07,TCGA-D8-A1XF-01A-11R-A14D-07,TCGA-AR-A1AH-01A-11R-A12D-07,TCGA-AN-A03Y-01A-21R-A00Z-07,TCGA-BH-A0HQ-01A-11R-A034-07,TCGA-A8-A090-01A-11R-A00Z-07,TCGA-AC-A3BB-01A-21R-A19W-07,TCGA-A8-A08B-01A-11R-A00Z-07,TCGA-EW-A1PC-01B-11R-A21T-07,TCGA-A8-A081-01A-11R-A00Z-07,TCGA-C8-A12O-01A-11R-A115-07
CUL7,432.53,381.68,320.8,406.31,181.28,368.65,486.75,283.05,395.18,379.04,441.64,392.44,470.14,543.96,547.75,361.04,189.02,397.93,511,242.88,599.49,514.56,332.14,376.41,265.87,283.05,201.25
APLF,48.18,13.03,20.56,45.53,33.54,43.94,7.4,50.63,14.56,29.06,165.57,63,15.22,28.86,13.62,32.13,61.25,9.41,112.77,12.74,33.3,18.43,20.86,29.91,26.86,28.45,17.38
SYTL3,56.68,131.51,52.08,159.9,194.36,909.17,54.33,88.26,166.73,151.22,164.42,76.17,60.82,83.45,70.01,103.69,108.14,45.85,116.78,68.55,133.36,53.57,159.9,68.55,55.89,191.67,112.77
ST6GALNAC4,283.05,1183.45,316.37,432.53,265.87,493.56,303.44,921.88,616.37,1721.16,228.13,231.32,218.79,239.52,108.9,185.11,400.71,86.43,127,187.71,242.88,265.87,583.07,525.39,202.66,713.11,441.64
EPHA10,113.56,6.84,36.27,134.3,67.59,67.59,84.63,25.17,10.31,54.72,96.01,98.73,77.25,99.43,25.54,0.92,4.31,143.01,23.25,20.26,48.18,128.79,58.71,4.1,50.98,45.53,49.91
ATAD1,1081.39,954.43,890.44,651.58,595.34,591.22,497,769.69,587.13,279.14,808,40.36,713.11,967.76,988.12,68.55,1286.18,642.59,371.22,571.05,587.13,1023,420.68,575.03,603.67,1059.11,1030.12
AL590708.2,1.41,7.69,0,8.78,2.34,0,0,0,5.11,3.5,6.73,6.11,1.73,2.78,0.83,1.1,5.59,3.5,0,1.2,0,0,0,0,6.52,1.1,0
SPIN1,902.89,656.11,1697.45,1175.27,1233.75,1508.65,1008.9,1427.22,785.88,934.76,2032.85,1081.39,1857.6,1477.58,1268.46,1191.69,1378.57,1628.26,1008.9,633.73,1119.56,947.83,1023,1167.14,909.17,941.27,909.17
SLC13A3,12.18,67.59,14.03,40.36,25.17,223.41,47.84,33.54,61.25,90.14,30.56,32.59,19.97,31.45,115.16,146.03,325.29,14.45,50.27,19.97,20.56,5.87,21.47,112.77,253.23,420.68,24.46
RIMS2,0.33,1.71,24.81,4.46,4.7,84.04,1.39,1.35,0.93,0.38,10.71,28.24,0.62,106.63,102.97,0.34,36.27,0,1.5,3.06,4.35,3.66,2.29,0,3.44,21.47,72.52
PDHB,2178.83,1769.57,3146.52,1477.58,1199.98,1073.91,1883.54,1857.6,1857.6,1175.27,753.83,1135.2,2032.85,1159.07,1127.35,1183.45,703.28,954.43,1639.59,1883.54,1529.73,3325.99,1519.15,1015.93,1340.84,2061.24,1359.57
PLEKHA6,343.89,954.43,718.08,878.17,571.05,208.38,406.31,616.37,679.29,457.25,397.93,83.45,397.93,921.88,543.96,150.17,166.73,974.5,368.65,941.27,890.44,260.38,454.09,346.29,473.41,483.38,283.05
